"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",60.16,,1.76,-2.22%,15133
2,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",206.06,,9.95,0.20%,188
3,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",263.03,,12.75,2.25%,63960
4,"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage","USA",83.55,,2.88,1.05%,33411
5,"AAME","Atlantic American Corporation","Financial","Insurance - Life","USA",58.34,24.87,2.86,0.35%,2367
6,"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services","USA",310.45,5.90,10.29,27.04%,2366540
7,"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors","USA",82.37,,2.86,5.54%,239103
8,"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified","USA",1645.64,42.18,27.63,3.37%,359190
9,"AATC","Autoscope Technologies Corporation","Technology","Scientific & Technical Instruments","USA",22.91,45.21,4.25,-2.30%,8030
10,"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology","USA",36.70,,4.18,9.42%,425012
11,"ABGI","ABG Acquisition Corp. I","Financial","Shell Companies","USA",192.83,,9.96,0.20%,32
12,"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology","USA",29.27,,2.05,-0.49%,32261
13,"ABOS","Acumen Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",286.73,,7.27,-4.34%,104682
14,"ABSI","Absci Corporation","Healthcare","Biotechnology","USA",294.91,,3.09,17.49%,487965
15,"ABST","Absolute Software Corporation","Technology","Software - Application","Canada",821.41,,11.96,2.93%,60362
16,"ACAQ","Athena Consumer Acquisition Corp.","Financial","Shell Companies","USA",323.99,,10.09,0.00%,56099
17,"ACEL","Accel Entertainment, Inc.","Consumer Cyclical","Gambling","USA",814.57,15.66,9.35,2.97%,197675
